"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35704498","","","","0"
"2015-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35823591","","","","0"
"2016-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35871484","","","","0"
"2016-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35970407","","","","0"
"2016-07","Canada","2016A000011124","Persons","249","units","0","v1","1","36110803","","","","0"
"2016-10","Canada","2016A000011124","Persons","249","units","0","v1","1","36257421","","","","0"
"2017-01","Canada","2016A000011124","Persons","249","units","0","v1","1","36313068","","","","0"
"2017-04","Canada","2016A000011124","Persons","249","units","0","v1","1","36397141","","","","0"
"2017-07","Canada","2016A000011124","Persons","249","units","0","v1","1","36545075","","","","0"
"2017-10","Canada","2016A000011124","Persons","249","units","0","v1","1","36722075","","","","0"
"2018-01","Canada","2016A000011124","Persons","249","units","0","v1","1","36801579","","","","0"
"2018-04","Canada","2016A000011124","Persons","249","units","0","v1","1","36903671","","","","0"
"2018-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37072620","","","","0"
"2018-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37259485","","","","0"
"2019-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37336956","","","","0"
"2019-04","Canada","2016A000011124","Persons","249","units","0","v1","1","37437243","","","","0"
"2019-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37618495","","","","0"
"2019-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37828162","","","","0"
"2020-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37928208","","","","0"
"2020-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38006941","","","","0"
"2020-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38028638","","","","0"
"2020-10","Canada","2016A000011124","Persons","249","units","0","v1","1","38027406","","","","0"
"2021-01","Canada","2016A000011124","Persons","249","units","0","v1","1","38058291","","","","0"
"2021-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38140918","","","","0"
"2021-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38239864","","","","0"
"2021-10","Canada","2016A000011124","Persons","249","units","0","v1","1","38446871","","","","0"
"2022-01","Canada","2016A000011124","Persons","249","units","0","v1","1","38566032","","","","0"
"2022-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38682424","","","","0"
"2022-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38935934","","","","0"
"2022-10","Canada","2016A000011124","Persons","249","units","0","v1","1","39279501","","","","0"
"2023-01","Canada","2016A000011124","Persons","249","units","0","v1","1","39527986","","","","0"
"2023-04","Canada","2016A000011124","Persons","249","units","0","v1","1","39748878","","","","0"
"2023-07","Canada","2016A000011124","Persons","249","units","0","v1","1","40083484","","","","0"
"2023-10","Canada","2016A000011124","Persons","249","units","0","v1","1","40513781","","","","0"
"2024-01","Canada","2016A000011124","Persons","249","units","0","v1","1","40784356","","","","0"
"2024-04","Canada","2016A000011124","Persons","249","units","0","v1","1","41038370","","","","0"
"2024-07","Canada","2016A000011124","Persons","249","units","0","v1","1","41288599","","","","0"
"2024-10","Canada","2016A000011124","Persons","249","units","0","v1","1","41465298","","","","0"
"2025-01","Canada","2016A000011124","Persons","249","units","0","v1","1","41528680","","","","0"
"2005-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","516750","","","","0"
"2005-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","515324","","","","0"
"2005-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","514310","","","","0"
"2005-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","513725","","","","0"
"2006-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","512554","","","","0"
"2006-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","510959","","","","0"
"2006-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","510593","","","","0"
"2006-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","510325","","","","0"
"2007-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","510329","","","","0"
"2007-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","509126","","","","0"
"2007-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","509047","","","","0"
"2007-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","510256","","","","0"
"2008-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","510989","","","","0"
"2008-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","511239","","","","0"
"2008-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","511569","","","","0"
"2008-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","513425","","","","0"
"2009-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","514210","","","","0"
"2009-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","514707","","","","0"
"2009-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","516741","","","","0"
"2009-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","518975","","","","0"
"2010-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","520276","","","","0"
"2010-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521197","","","","0"
"2010-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","522002","","","","0"
"2010-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","522861","","","","0"
"2011-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","523723","","","","0"
"2011-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","524238","","","","0"
"2011-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","524955","","","","0"
"2011-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525845","","","","0"
"2012-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526115","","","","0"
"2012-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525550","","","","0"
"2012-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526235","","","","0"
"2012-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527065","","","","0"
"2013-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527129","","","","0"
"2013-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527177","","","","0"
"2013-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526960","","","","0"
"2013-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527948","","","","0"
"2014-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528065","","","","0"
"2014-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527314","","","","0"
"2014-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527970","","","","0"
"2014-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528266","","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528161","","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527859","","","","0"
"2015-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528348","","","","0"
"2015-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528843","","","","0"
"2016-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528903","","","","0"
"2016-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529083","","","","0"
"2016-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529586","","","","0"
"2016-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","530368","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","530175","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529700","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529742","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","530153","","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529743","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528924","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528402","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528926","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528326","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527993","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527643","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528442","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528231","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527733","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526884","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526046","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525895","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526195","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527056","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528302","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528957","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529042","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","531308","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","533409","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","535298","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","536686","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","538907","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","541000","","","","0"
"2024-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","541820","","","","0"
"2024-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","543141","","","","0"
"2024-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","545247","","","","0"
"2024-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","545880","","","","0"
"2025-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","545579","","","","0"
"2005-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137691","","","","0"
"2005-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137790","","","","0"
"2005-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","138067","","","","0"
"2005-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","138133","","","","0"
"2006-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137908","","","","0"
"2006-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137847","","","","0"
"2006-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137869","","","","0"
"2006-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137898","","","","0"
"2007-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137777","","","","0"
"2007-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137707","","","","0"
"2007-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137709","","","","0"
"2007-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","138020","","","","0"
"2008-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137990","","","","0"
"2008-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","138175","","","","0"
"2008-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","138736","","","","0"
"2008-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","139448","","","","0"
"2009-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","139114","","","","0"
"2009-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","139190","","","","0"
"2009-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","139873","","","","0"
"2009-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","140596","","","","0"
"2010-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","140598","","","","0"
"2010-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","140978","","","","0"
"2010-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","141644","","","","0"
"2010-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","142725","","","","0"
"2011-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143016","","","","0"
"2011-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143265","","","","0"
"2011-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143918","","","","0"
"2011-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144283","","","","0"
"2012-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144208","","","","0"
"2012-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144365","","","","0"
"2012-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144415","","","","0"
"2012-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144396","","","","0"
"2013-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144041","","","","0"
"2013-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143807","","","","0"
"2013-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143942","","","","0"
"2013-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143943","","","","0"
"2014-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143828","","","","0"
"2014-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143810","","","","0"
"2014-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144095","","","","0"
"2014-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144342","","","","0"
"2015-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144162","","","","0"
"2015-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144046","","","","0"
"2015-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144636","","","","0"
"2015-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144949","","","","0"
"2016-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","145238","","","","0"
"2016-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","145792","","","","0"
"2016-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","146891","","","","0"
"2016-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","147699","","","","0"
"2017-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","147811","","","","0"
"2017-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","148354","","","","0"
"2017-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","149740","","","","0"
"2017-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","150595","","","","0"
"2018-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","150619","","","","0"
"2018-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","151008","","","","0"
"2018-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","152259","","","","0"
"2018-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","153906","","","","0"
"2019-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","153881","","","","0"
"2019-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","154409","","","","0"
"2019-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","155792","","","","0"
"2019-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157025","","","","0"
"2020-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157494","","","","0"
"2020-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158401","","","","0"
"2020-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159193","","","","0"
"2020-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159179","","","","0"
"2021-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159240","","","","0"
"2021-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","160334","","","","0"
"2021-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","162133","","","","0"
"2021-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","163728","","","","0"
"2022-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","164164","","","","0"
"2022-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","165574","","","","0"
"2022-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","167213","","","","0"
"2022-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","169032","","","","0"
"2023-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","170077","","","","0"
"2023-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","171856","","","","0"
"2023-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","173713","","","","0"
"2023-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","175871","","","","0"
"2024-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","176318","","","","0"
"2024-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","177318","","","","0"
"2024-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","178550","","","","0"
"2024-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","179301","","","","0"
"2025-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","179280","","","","0"
"2005-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","939202","","","","0"
"2005-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937989","","","","0"
"2005-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937931","","","","0"
"2005-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938755","","","","0"
"2006-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938120","","","","0"
"2006-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937665","","","","0"
"2006-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937880","","","","0"
"2006-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937060","","","","0"
"2007-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","936232","","","","0"
"2007-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935028","","","","0"
"2007-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935164","","","","0"
"2007-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935433","","","","0"
"2008-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935540","","","","0"
"2008-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935704","","","","0"
"2008-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935965","","","","0"
"2008-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937108","","","","0"
"2009-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937445","","","","0"
"2009-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937489","","","","0"
"2009-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938266","","","","0"
"2009-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940558","","","","0"
"2010-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940879","","","","0"
"2010-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940967","","","","0"
"2010-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","942144","","","","0"
"2010-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944201","","","","0"
"2011-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944082","","","","0"
"2011-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","943921","","","","0"
"2011-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944095","","","","0"
"2011-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944645","","","","0"
"2012-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","943907","","","","0"
"2012-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","943317","","","","0"
"2012-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","943163","","","","0"
"2012-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","942829","","","","0"
"2013-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","942045","","","","0"
"2013-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940647","","","","0"
"2013-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","939808","","","","0"
"2013-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","939442","","","","0"
"2014-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","939166","","","","0"
"2014-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938175","","","","0"
"2014-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937768","","","","0"
"2014-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938157","","","","0"
"2015-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937442","","","","0"
"2015-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935380","","","","0"
"2015-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937419","","","","0"
"2015-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938914","","","","0"
"2016-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938973","","","","0"
"2016-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940471","","","","0"
"2016-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","942984","","","","0"
"2016-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","946623","","","","0"
"2017-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","947023","","","","0"
"2017-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","948945","","","","0"
"2017-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","952159","","","","0"
"2017-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","956074","","","","0"
"2018-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","956711","","","","0"
"2018-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","957883","","","","0"
"2018-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","962072","","","","0"
"2018-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","967578","","","","0"
"2019-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","968724","","","","0"
"2019-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","970680","","","","0"
"2019-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","975799","","","","0"
"2019-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","982592","","","","0"
"2020-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","984130","","","","0"
"2020-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","986204","","","","0"
"2020-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","989168","","","","0"
"2020-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","989154","","","","0"
"2021-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","990025","","","","0"
